"id","name","slug","created_at","icon","sort_order","is_active"
"5acdf129-1606-4513-ac8b-172b2722c7fb","Hikmah","hikmah","2026-08-01T18:49:50.183Z","✨","1","true"
"3f2ad2ea-6ef3-4cd6-89aa-182adafe6224","Kajian","kajian","2026-08-01T18:49:50.190Z","📖","2","true"
"10e45eb7-e474-4a38-aff8-206852aa4015","Doa & Zikir","doa-zikir","2026-08-01T18:49:50.192Z","🤲","3","true"
"bf7a7965-9bed-474f-850d-c48a40dde2f3","Fiqih","fiqih","2026-08-01T18:49:50.193Z","📚","4","true"
"0918d259-9e16-43f6-8b8c-333298034348","Al-Quran & Hadits","al-quran-hadits","2026-08-01T18:49:50.194Z","🕌","5","true"
"b7bf3235-8ba7-426a-a39f-a09c846cd419","General","general","2026-08-01T18:49:50.195Z","💬","6","true"
